报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),30015,27816,25737,20423,21258,14547,37066,61543,29768,20764,14204,18369,24769,6130,6991,7125,3640,4384,2096,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,
应收票据(万元),855,732,40,91,279,375,1051,906,,,76,1628,896,374,652,4535,2035,671,370,
应收账款(万元),22638,26890,22340,25310,25040,29931,17477,13518,11368,14157,18149,13651,17074,14736,10865,4853,7689,4676,3127,
预付款项(万元),1451,963,628,253,605,2535,5628,221,1065,1290,3171,1169,616,91,36,147,143,28,112,
应收保费(万元),,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,0,,,,,,,,,,,,,,,,
应收股利(万元),,,,0,,,,,,,,,,,,,,,,
其他应收款(万元),,1084,,954,996,1102,3151,1052,821,310,432,208,305,600,533,492,221,146,40,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,
存货(万元),35489,28685,30678,35150,38692,36961,26747,22615,20018,24681,22317,14042,8338,7345,7067,10334,7316,4009,4050,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,31,,11,6,,,,,
其他流动资产(万元),613,610,756,1972,2252,8062,9000,406,9000,10262,9000,9137,,,,,,,,
流动资产合计(万元),91693,86781,81238,84153,89123,93513,100120,100260,72039,71463,67349,58234,51998,29287,26150,27485,21045,13915,9795,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),1001,1049,1068,1237,1386,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,0,,,,,,,,,,,,,,,,
固定资产原值(万元),,3218,,3148,,2705,,2592,,2453,,2402,,2376,2282,,,,,
累计折旧(万元),,1513,,1358,,1234,,1205,,1093,,983,,895,789,,,,,
固定资产净值(万元),,1705,,1790,,1472,,1387,,1360,,1419,,1481,1492,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,
固定资产(万元),,1705,,1790,1526,1472,1421,1387,1417,1360,1387,1419,1449,1481,1492,1118,755,508,401,
在建工程(万元),,6259,,6195,6192,,,,,,,,,,2,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,
无形资产(万元),17586,17727,17859,17994,11863,1720,1735,1721,1793,1737,1705,1719,1731,1745,1772,1789,1807,15,16,
开发支出(万元),,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),76,98,41,119,199,213,202,184,97,110,131,5,43,46,67,35,38,86,8,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),429,429,416,413,438,442,356,356,159,164,155,155,153,153,146,114,66,30,17,
其他非流动资产(万元),4000,4000,4000,4369,10018,12885,182,139,,,,,,,30,,,1806,,
非流动资产合计(万元),32304,31266,31395,32118,31623,16731,3896,3787,3467,3370,3379,3299,3376,3425,3509,3057,2667,2445,442,
资产总计(万元),123997,118047,112633,116271,120746,110244,104017,104047,75506,74834,70728,61532,55374,32712,29660,30541,23711,16361,10237,
短期借款(万元),33742,33450,29682,29504,28384,23939,22534,28150,,,,,,,,500,,176,400,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,
应付票据(万元),6461,7464,,6373,,8307,7158,9589,12138,7103,5571,1498,873,1754,651,1977,1587,238,,
应付账款(万元),14832,6990,,11155,,16011,15174,9652,7773,13036,14846,10794,6428,4729,3852,4223,4305,3512,3043,
预收账款(万元),1130,3486,2875,4590,3780,3214,2869,728,1667,1747,2244,1396,1617,910,931,2699,1474,473,1007,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1023,941,915,1784,1021,853,638,1091,688,703,523,555,296,361,489,440,354,185,174,
