报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),79417,64539,80941,63351,95569,64532,47768,45444,48446,48018,142965,36419,39667,50278,25835,27906,23383,18943,26413,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,
应收票据(万元),6336,4978,3787,2800,5152,3443,2129,2881,2931,3046,1029,1556,992,1683,1008,973,1183,1167,1584,
应收账款(万元),113804,104183,84071,94860,96342,91245,87067,79351,97926,97153,82778,81698,64670,66480,51776,50359,50682,41452,32679,
预付款项(万元),6093,4058,2244,2345,9050,3884,7386,4009,7124,1415,4354,1686,1411,1422,1630,2174,1574,3417,3654,
应收保费(万元),,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,2371,,2018,1841,1853,1868,2474,2381,1002,1644,2296,1266,4051,3002,1487,6717,1737,6189,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,
存货(万元),46907,48391,56266,57932,63338,66879,61541,64036,58522,59718,47538,46562,32070,29988,31265,30564,31757,27702,41224,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),776,776,776,776,977,977,977,1452,,,,,,,,,,,,
其他流动资产(万元),57247,66694,60368,82719,20597,51375,67688,80471,85037,99276,9906,8884,4669,3722,17087,,6434,300,,
流动资产合计(万元),313556,295988,290772,306801,292867,284189,276425,280118,302365,309628,290214,179102,144745,157624,131602,113462,121730,94717,111744,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,870,430,430,430,430,30,25,25,25,5,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,
长期应收款(万元),3204,3204,3204,3204,4227,4227,4227,4227,,,,,,300,1567,1567,1659,1751,1843,
长期股权投资(万元),2684,2432,2193,1966,5969,5943,5846,5791,5709,5630,5375,5375,5006,4426,2955,2289,1900,1025,1157,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,57869,,56440,,49844,,48219,,42405,,41065,,39706,36230,36563,,36963,34685,
累计折旧(万元),,27639,,24917,,22526,,20079,,18387,,16837,,15802,13604,13315,,11140,9856,
固定资产净值(万元),,30231,,31524,,27318,,28139,,24018,,24228,,23904,22626,23249,,25823,24829,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,
固定资产(万元),,30231,,31524,27233,27318,27781,28139,26203,24018,23631,24228,23449,23904,22626,23249,23853,25823,24829,
在建工程(万元),,17744,,,9157,6642,6306,4509,5536,4459,2584,2067,1495,771,286,123,60,88,723,
工程物资(万元),,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,
无形资产(万元),22604,22915,23096,23279,21708,21824,21962,22100,18679,18799,18919,19040,19292,19521,9913,10027,10141,8040,8164,
开发支出(万元),,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),508,561,602,634,595,556,481,509,,155,,,,,,,,,51,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2411,2362,1856,1952,2037,1819,2511,2437,1597,1807,1423,1474,1390,1558,1075,992,1050,1285,1482,
其他非流动资产(万元),466,495,641,424,1312,596,163,389,681,989,539,689,897,58,7337,6620,417,210,27,
